year,month,Brand,monthly_sales
2020,May,Seat,274
2020,May,Skoda,65
2020,May,Smart,26
2020,May,Suzuki,12
2020,May,Tesla,9
2020,May,Toyota,211
2020,May,Volkswagen,212
2020,May,Volvo,210
2020,Jun,Alfa Romeo,8
2020,Jun,Alpine,0
2020,Jun,Aston Martin,0
2020,Jun,Audi,285
2020,Jun,Bentley,1
2020,Jun,BMW,574
2020,Jun,Citroën,533
2020,Jun,Cupra,0
2020,Jun,Dacia,506
2020,Jun,DS,20
2020,Jun,Ferrari,1
2020,Jun,Fiat,390
2020,Jun,Ford,560
2020,Jun,Honda,74
2020,Jun,Hyundai,539
2020,Jun,Iveco,4
2020,Jun,Jaguar,29
2020,Jun,Jeep,49
2020,Jun,Kia,304
2020,Jun,Lamborghini,0
2020,Jun,Land Rover,48
2020,Jun,Lexus,17
2020,Jun,Man,1
2020,Jun,Maserati,0
2020,Jun,Mazda,77
2020,Jun,Mercedes-Benz,912
2020,Jun,MINI,138
2020,Jun,Mitsubishi,48
2020,Jun,Nissan,509
2020,Jun,Opel,232
2020,Jun,Peugeot,1276
2020,Jun,Porsche,89
2020,Jun,Renault,1676
2020,Jun,Seat,467
2020,Jun,Skoda,81
2020,Jun,Smart,44
2020,Jun,Suzuki,22
2020,Jun,Tesla,54
2020,Jun,Toyota,610
2020,Jun,Volkswagen,504
2020,Jun,Volvo,394
2020,Jul,Alfa Romeo,21
2020,Jul,Alpine,1
2020,Jul,Aston Martin,0
2020,Jul,Audi,359
2020,Jul,Bentley,7
2020,Jul,BMW,882
2020,Jul,Citroën,930
2020,Jul,Cupra,0
2020,Jul,Dacia,515
2020,Jul,DS,54
2020,Jul,Ferrari,8
2020,Jul,Fiat,1029
2020,Jul,Ford,695
2020,Jul,Honda,107
2020,Jul,Hyundai,591
2020,Jul,Iveco,11
2020,Jul,Jaguar,36
2020,Jul,Jeep,95
2020,Jul,Kia,376
2020,Jul,Lamborghini,2
2020,Jul,Land Rover,60
2020,Jul,Lexus,23
2020,Jul,Man,2
2020,Jul,Maserati,0
2020,Jul,Mazda,114
2020,Jul,Mercedes-Benz,1457
2020,Jul,MINI,173
2020,Jul,Mitsubishi,119
2020,Jul,Nissan,703
2020,Jul,Opel,383
2020,Jul,Peugeot,1642
2020,Jul,Porsche,106
2020,Jul,Renault,1863
2020,Jul,Seat,690
2020,Jul,Skoda,118
2020,Jul,Smart,42
2020,Jul,Suzuki,20
2020,Jul,Tesla,0
2020,Jul,Toyota,696
2020,Jul,Volkswagen,775
2020,Jul,Volvo,504
2020,Aug,Alfa Romeo,15
2020,Aug,Alpine,0
2020,Aug,Aston Martin,2
2020,Aug,Audi,202
2020,Aug,Bentley,0
2020,Aug,BMW,842
2020,Aug,Citroën,636
2020,Aug,Cupra,0
2020,Aug,Dacia,348
2020,Aug,DS,43
2020,Aug,Ferrari,2
2020,Aug,Fiat,557
2020,Aug,Ford,544
2020,Aug,Honda,100
2020,Aug,Hyundai,561
2020,Aug,Iveco,0
2020,Aug,Jaguar,26
2020,Aug,Jeep,98
2020,Aug,Kia,295
2020,Aug,Lamborghini,1
2020,Aug,Land Rover,36
2020,Aug,Lexus,19
2020,Aug,Man,1
2020,Aug,Maserati,2
2020,Aug,Mazda,100
2020,Aug,Mercedes-Benz,1422
2020,Aug,MINI,127
2020,Aug,Mitsubishi,87
2020,Aug,Nissan,562
2020,Aug,Opel,279
2020,Aug,Peugeot,1452
2020,Aug,Porsche,86
2020,Aug,Renault,1659
2020,Aug,Seat,482
2020,Aug,Skoda,148
2020,Aug,Smart,18
2020,Aug,Suzuki,20
2020,Aug,Tesla,133
2020,Aug,Toyota,523
2020,Aug,Volkswagen,625
2020,Aug,Volvo,364
2020,Sep,Alfa Romeo,21
2020,Sep,Alpine,1
2020,Sep,Aston Martin,0
2020,Sep,Audi,291
2020,Sep,Bentley,2
2020,Sep,BMW,934
2020,Sep,Citroën,795
2020,Sep,Cupra,0
2020,Sep,Dacia,392
2020,Sep,DS,21
2020,Sep,Ferrari,1
2020,Sep,Fiat,773
2020,Sep,Ford,695
2020,Sep,Honda,123
2020,Sep,Hyundai,507
2020,Sep,Iveco,0
2020,Sep,Jaguar,27
2020,Sep,Jeep,104
2020,Sep,Kia,298
2020,Sep,Lamborghini,1
2020,Sep,Land Rover,33
2020,Sep,Lexus,31
2020,Sep,Man,1
2020,Sep,Maserati,1
2020,Sep,Mazda,123
2020,Sep,Mercedes-Benz,1223
2020,Sep,MINI,200
2020,Sep,Mitsubishi,104
2020,Sep,Nissan,640
2020,Sep,Opel,246
2020,Sep,Peugeot,1347
2020,Sep,Porsche,58
2020,Sep,Renault,1599
2020,Sep,Seat,702
2020,Sep,Skoda,99
2020,Sep,Smart,47
2020,Sep,Suzuki,22
2020,Sep,Tesla,207
2020,Sep,Toyota,439
2020,Sep,Volkswagen,671
2020,Sep,Volvo,407
2020,Oct,Alfa Romeo,34
2020,Oct,Alpine,1
2020,Oct,Aston Martin,0
2020,Oct,Audi,371
2020,Oct,Bentley,0
2020,Oct,BMW,1053
2020,Oct,Citroën,724
2020,Oct,Cupra,0
2020,Oct,Dacia,449
2020,Oct,DS,56
2020,Oct,Ferrari,5
2020,Oct,Fiat,640
2020,Oct,Ford,608
2020,Oct,Honda,123
2020,Oct,Hyundai,448
2020,Oct,Iveco,0
2020,Oct,Jaguar,37
2020,Oct,Jeep,56
2020,Oct,Kia,379
2020,Oct,Lamborghini,0
2020,Oct,Land Rover,53
2020,Oct,Lexus,40
2020,Oct,Man,0
2020,Oct,Maserati,1
2020,Oct,Mazda,154
2020,Oct,Mercedes-Benz,1557
2020,Oct,MINI,151
2020,Oct,Mitsubishi,79
2020,Oct,Nissan,539
2020,Oct,Opel,392
2020,Oct,Peugeot,1661
2020,Oct,Porsche,79
2020,Oct,Renault,1634
2020,Oct,Seat,672
2020,Oct,Skoda,165
2020,Oct,Smart,51
2020,Oct,Suzuki,14
2020,Oct,Tesla,6
2020,Oct,Toyota,375
2020,Oct,Volkswagen,714
2020,Oct,Volvo,358
2020,Nov,Alfa Romeo,12
2020,Nov,Alpine,0
2020,Nov,Aston Martin,0
2020,Nov,Audi,277
2020,Nov,Bentley,2
2020,Nov,BMW,1249
2020,Nov,Citroën,596
2020,Nov,Cupra,0
2020,Nov,Dacia,360
2020,Nov,DS,31
2020,Nov,Ferrari,4
2020,Nov,Fiat,364
2020,Nov,Ford,622
2020,Nov,Honda,71
2020,Nov,Hyundai,369
2020,Nov,Iveco,0
2020,Nov,Jaguar,53
2020,Nov,Jeep,59
2020,Nov,Kia,221
2020,Nov,Lamborghini,1
2020,Nov,Land Rover,95
2020,Nov,Lexus,14
2020,Nov,Man,0
2020,Nov,Maserati,3
2020,Nov,Mazda,97
2020,Nov,Mercedes-Benz,1072
